SKU,Name,Price,Rating,CategoryId,IsActive,CreatedAt
SKU000001,Alpha Laptop Pro 15,999.99,4.8,1,true,2024-01-10T10:00:00Z
SKU000002,Beta Keyboard Mechanical MX,129.50,4.5,1,true,2024-01-15T09:00:00Z
SKU000003,Gamma Wireless Mouse,49.99,4.2,1,true,2024-02-01T12:30:00Z
SKU000004,"Delta Monitor 24""",159.99,4.3,1,true,2024-03-10T14:45:00Z
SKU000005,Epsilon USB-C Hub 8-in-1,89.99,4.1,1,true,2024-02-20T08:15:00Z
SKU000006,Zeta Gaming Headset,79.99,4.4,1,true,2024-01-28T11:20:00Z
SKU000007,Theta WebCam 1080p,59.99,4.0,1,true,2024-02-14T16:10:00Z
SKU000008,Iota Microphone Studio,109.99,4.6,1,true,2024-03-02T13:00:00Z
SKU000009,Kappa Portable SSD 1TB,139.99,4.8,1,true,2024-02-22T10:40:00Z
SKU000010,Lambda External HDD 2TB,79.99,4.1,1,true,2024-01-06T09:50:00Z
SKU000011,Mu Smartwatch Gen 4,249.99,4.5,2,true,2024-01-25T12:00:00Z
SKU000012,Nu Fitness Band,59.99,4.3,2,true,2024-02-18T10:10:00Z
SKU000013,Xi Bluetooth Speaker,39.99,4.0,2,true,2024-02-20T15:25:00Z
SKU000014,Omicron Soundbar 2.1,199.99,4.4,2,true,2024-03-11T14:00:00Z
SKU000015,Pi Smartphone Tripod,24.99,4.1,2,true,2024-01-15T08:30:00Z
SKU000016,Rho Camera Lens 50mm,299.99,4.7,2,true,2024-03-04T17:00:00Z
SKU000017,Sigma DSLR Backpack,79.99,4.5,2,true,2024-01-19T13:45:00Z
SKU000018,Tau Ring Light Pro,59.99,4.2,2,true,2024-02-28T09:20:00Z
SKU000019,Upsilon Drone Mini,399.99,4.6,2,true,2024-03-08T11:50:00Z
SKU000020,Phi Action Camera 4K,149.99,4.3,2,true,2024-02-10T14:35:00Z
SKU000021,Chi Tablet 10-inch,199.99,4.2,3,true,2024-03-05T10:00:00Z
SKU000022,Psi Phone Stand Foldable,19.99,4.0,3,true,2024-02-14T11:00:00Z
SKU000023,Omega HDMI Cable 4K,14.99,4.6,3,true,2024-03-09T12:00:00Z
SKU000024,Alpha Wireless Charger,29.99,4.3,3,true,2024-01-30T13:00:00Z
SKU000025,"Test Duplicate 1",19.99,3.5,3,true,2024-10-01T09:00:00Z
SKU000026,Gamma Laptop Stand,39.99,4.2,3,true,2024-02-03T15:00:00Z
SKU000027,Zeta Car Charger 30W,24.99,4.1,3,true,2024-01-18T08:00:00Z
SKU000028,Delta Smart Plug WiFi,17.99,4.4,3,true,2024-03-02T09:30:00Z
SKU000029,Epsilon USB LED Lamp,9.99,4.0,3,true,2024-02-09T07:40:00Z
SKU000030,Theta Bluetooth Earbuds,49.99,4.3,3,true,2024-01-12T16:00:00Z
SKU000031,Iota Exercise Mat,34.99,4.5,4,true,2024-02-26T11:10:00Z
SKU000032,Kappa Kettlebell 20lb,59.99,4.7,4,true,2024-03-06T12:20:00Z
SKU000033,Lambda Yoga Block Set,22.99,4.4,4,true,2024-01-21T13:15:00Z
SKU000034,Mu Adjustable Dumbbells,199.99,4.8,4,true,2024-02-18T14:00:00Z
SKU000035,Nu Fitness Gloves,14.99,4.1,4,true,2024-03-01T09:45:00Z
SKU000036,Xi Jump Rope Pro,19.99,4.2,4,true,2024-02-02T10:30:00Z
SKU000037,Omicron Protein Shaker,12.99,4.0,4,true,2024-03-07T11:00:00Z
SKU000038,Phi Gym Bag XL,49.99,4.5,4,true,2024-02-23T12:40:00Z
SKU000039,Rho Resistance Bands Set,29.99,4.4,4,true,2024-01-30T13:10:00Z
SKU000040,Sigma Rowing Machine Mini,159.99,4.3,4,true,2024-03-10T08:30:00Z
SKU000041,Tau Office Chair Pro,129.99,4.6,5,true,2024-02-12T10:00:00Z
SKU000042,Upsilon Standing Desk Converter,99.99,4.5,5,true,2024-02-15T11:10:00Z
SKU000043,Phi Desk Lamp LED,39.99,4.2,5,true,2024-01-11T08:00:00Z
SKU000044,Chi Filing Cabinet Mini,59.99,4.1,5,true,2024-03-03T12:00:00Z
SKU000045,Omega Whiteboard Medium,24.99,4.0,5,true,2024-01-22T14:00:00Z
SKU000046,Alpha Pen Set Premium,12.99,4.3,5,true,2024-02-25T15:10:00Z
SKU000047,Beta Notebook A5,7.99,4.5,5,true,2024-02-07T09:00:00Z
SKU000048,Gamma Printer Paper 500ct,14.99,4.4,5,true,2024-01-28T13:00:00Z
SKU000049,Delta Wall Clock Modern,19.99,4.2,5,true,2024-02-20T14:20:00Z
SKU000050,Epsilon Desk Organizer,34.99,4.6,5,true,2024-03-04T09:00:00Z
SKU000051,Zeta Kitchen Knife Set,49.99,4.7,6,true,2024-01-09T10:40:00Z
SKU000052,Theta Cutting Board Bamboo,19.99,4.5,6,true,2024-02-16T12:30:00Z
SKU000053,Iota Mixing Bowl Set,24.99,4.3,6,true,2024-03-05T11:15:00Z
SKU000054,Kappa Air Fryer Compact,79.99,4.6,6,true,2024-02-19T13:00:00Z
SKU000055,Lambda Blender Smoothie,39.99,4.2,6,true,2024-03-08T14:20:00Z
SKU000056,Mu Coffee Maker Mini,29.99,4.1,6,true,2024-01-17T09:50:00Z
SKU000057,Nu Toaster 2-Slot,19.99,4.0,6,true,2024-02-21T08:40:00Z
SKU000058,Xi Water Bottle Steel,16.99,4.4,6,true,2024-01-24T10:30:00Z
SKU000059,Omicron Food Container Set,14.99,4.3,6,true,2024-02-14T11:00:00Z
SKU000060,Phi Cooking Utensils 8pc,29.99,4.5,6,true,2024-03-02T12:00:00Z
SKU000061,Rho Smart Thermostat,129.99,4.7,1,true,2024-01-18T14:40:00Z
SKU000062,Sigma USB-C Cable 3ft,9.99,4.2,1,true,2024-03-01T16:00:00Z
SKU000063,Tau Webcam Cover Slider,5.99,4.1,1,true,2024-02-24T11:50:00Z
SKU000064,Upsilon Docking Station,79.99,4.6,1,true,2024-02-28T12:10:00Z
SKU000065,Phi Magnetic Car Mount,14.99,4.0,1,true,2024-01-26T09:00:00Z
SKU000066,Chi USB Microphone Budget,29.99,4.2,2,true,2024-03-06T10:00:00Z
SKU000067,Omega Studio Lights Mini,54.99,4.5,2,true,2024-02-17T09:20:00Z
SKU000068,Alpha Travel Tripod,34.99,4.3,2,true,2024-02-11T08:20:00Z
SKU000069,Beta Camera Bag Small,19.99,4.0,2,true,2024-03-07T13:40:00Z
SKU000070,Gamma Action Cam Batteries,24.99,4.4,2,true,2024-01-13T12:15:00Z
SKU000071,Delta Phone Grip,9.99,4.2,3,true,2024-02-04T15:20:00Z
SKU000072,Epsilon Wall Charger Dual,14.99,4.3,3,true,2024-01-29T16:10:00Z
SKU000073,Theta USB Fan Desk,12.99,4.1,3,true,2024-03-09T11:55:00Z
SKU000074,Iota LED Strip 5m,24.99,4.5,3,true,2024-02-10T14:00:00Z
SKU000075,Kappa Desk Mat XL,17.99,4.4,3,true,2024-03-10T12:00:00Z
SKU000076,Lambda Foam Roller 24,22.99,4.5,4,true,2024-02-02T17:00:00Z
SKU000077,Mu Weight Scale Digital,34.99,4.3,4,true,2024-01-20T10:00:00Z
SKU000078,Nu Massage Gun Mini,79.99,4.7,4,true,2024-03-03T09:30:00Z
SKU000079,Xi Sports Bottle 32oz,14.99,4.2,4,true,2024-01-27T11:30:00Z
SKU000080,Omicron Gym Shorts M,19.99,4.1,4,true,2024-02-15T13:00:00Z
SKU000081,Phi Desk Footrest,22.99,4.5,5,true,2024-03-04T08:00:00Z
SKU000082,Rho Mouse Pad XXL,17.99,4.4,5,true,2024-02-19T10:10:00Z
SKU000083,Sigma Cable Organizer,12.99,4.3,5,true,2024-01-31T11:20:00Z
SKU000084,Tau Office Drawer Tray,9.99,4.1,5,true,2024-03-01T12:30:00Z
SKU000085,Upsilon Wall Calendar 2024,7.99,4.0,5,true,2024-01-08T08:30:00Z
SKU000086,Phi Kitchen Shears,12.99,4.4,6,true,2024-02-27T09:40:00Z
SKU000087,Chi Silicone Spatula,7.99,4.3,6,true,2024-03-09T10:50:00Z
SKU000088,Omega Glass Meal Prep Set,29.99,4.6,6,true,2024-01-30T12:00:00Z
SKU000089,Alpha Stainless Steel Pan,39.99,4.5,6,true,2024-02-22T14:00:00Z
SKU000090,Beta Measuring Cups Set,9.99,4.2,6,true,2024-01-14T11:00:00Z
SKU000091,Gamma Tri-Fold Mirror,19.99,4.1,6,true,2024-02-06T09:40:00Z
SKU000092,Delta Dish Rack Foldable,24.99,4.3,6,true,2024-03-06T13:40:00Z
SKU000093,Epsilon Sink Strainer,6.99,4.0,6,true,2024-01-19T09:10:00Z
SKU000094,Theta Knife Sharpener,14.99,4.4,6,true,2024-02-25T10:30:00Z
SKU000095,Iota Oven Mitts Heat-Proof,11.99,4.3,6,true,2024-03-03T11:10:00Z
SKU000096,Kappa Fruit Basket Wire,18.99,4.2,6,true,2024-01-25T13:20:00Z
SKU000097,Lambda Cutting Shears,8.99,4.1,6,true,2024-02-12T15:20:00Z
SKU000098,Mu Paper Towel Holder,12.99,4.3,6,true,2024-03-08T16:00:00Z
SKU000099,Nu Spice Rack Stand,22.99,4.5,6,true,2024-02-17T14:10:00Z
SKU000100,Xi Salad Bowl Large,19.99,4.4,6,true,2024-01-28T12:30:00Z